RefDes,Value,Name,Part,Pattern,Quantity,Digikey REF,Remark
B1,,BR1225-1VC,Part 1,BK-912,1,BK-912-ND ,
C1,100u,CAP_1206,Part 1,CAP_1206,1,490-10525-1-ND ,
C2,450u,CAPAE_10.3x10.3h17.5,Part 1,CAPAE-10.3x10.3h13.5,1,PCE3909CT-ND ,Not populated
C3,100n,CAP_1206,Part 1,CAP_1206,1,399-1249-1-ND ,
C4,100n,CAP_1206,Part 1,CAP_1206,1,399-1249-1-ND ,
C5,100n,CAP_1206,Part 1,CAP_1206,1,399-1249-1-ND ,
C6,15pF,CAP_0603,Part 1,CAP_0603,1,399-1051-1-ND ,Not populated
C7,15pF,CAP_0603,Part 1,CAP_0603,1,399-1051-1-ND ,Not populated
D1,,LED-3R_Red,Part 1,RES_0603,1,67-1551-2-ND ,
D2,,LED-3R_Red,Part 1,RES_0603,1,67-1551-2-ND ,
D3,,LED-3R_Red,Part 1,RES_0603,1,67-1551-2-ND ,
D4,,LED-3R_Red,Part 1,RES_0603,1,67-1551-2-ND ,
D5,,LED-3R_Red,Part 1,RES_0603,1,67-1551-2-ND ,
D6,,LED-3R_Red,Part 1,RES_0603,1,67-1551-2-ND ,
D7,,LED-3R_Red,Part 1,RES_0603,1,67-1551-2-ND ,
J1,,1-292206-2,Part 1,HDR-2x6S/2.54x2.54/15x6,1,WM17452-ND ,Not populated
J2,,1-292206-2,Part 1,HDR-2x6S/2.54x2.54/15x6,1,WM17452-ND ,Not populated
J3,,644456-6,Part 1,HDR-1x6SH/2.54/15x13,1,,Not populated
R1,1k,RES_0603,Part 1,RES_0603,1,311-1.0KGRCT-ND ,
R2,1k,RES_0603,Part 1,RES_0603,1,311-1.0KGRCT-ND ,
R3,1k,RES_0603,Part 1,RES_0603,1,311-1.0KGRCT-ND ,
R4,1k,RES_0603,Part 1,RES_0603,1,311-1.0KGRCT-ND ,
R5,1k,RES_0603,Part 1,RES_0603,1,311-1.0KGRCT-ND ,
R6,1k,RES_0603,Part 1,RES_0603,1,311-1.0KGRCT-ND ,
R7,1k,RES_0603,Part 1,RES_0603,1,311-1.0KGRCT-ND ,
R8,1k,RES_0603,Part 1,RES_0603,1,311-1.0KGRCT-ND ,
S1,,B3F-1000,Part 1,B3S,1,SW836CT-ND ,Not populated
U1,,ATMEGA328P-AU,Part 1,QFP-32/7x7x0.5,1,ATMEGA328P-AU-ND,
Y1,16MHz,SM49,Part 1,SM49,1,XC1240CT-ND ,Not populated
